"Placeholder","Platzhalter"
"Mail preview placeholders","Mail-Vorschau Platzhalter"
"Mail Preview","Mail-Vorschau"
"Admin Settings","Admin Einstellungen"
"Show header in preview","Kopfzeile während der Vorschau einblenden"
"Will display a header in the mail preview with placeholder information","Zeigt eine Kopfzeile in der Mailvorschau mit Platzhalterinformationen"
"Auto add placeholders","Platzhalter automatisch speichern"
"Will save the found placeholders in the placeholder table","Speichert die gefundenen Platzhalter automatisch in der Datenbank"
"Item does not exist","Der Platzhalter existiert nicht"
"Item was successfully deleted","Platzhalter gelöscht"
"Add","Platzhalter hinzufügen"
"Add Item","Platzhalter hinzufügen"
"Element","Platzhalter"
"Variable","Variable"
"Replacement","Ersetzen durch"
"Preview Store","Vorschau Store"
"Defines the store which will be used in preview mode","Definiert, welcher Store im Vorschau-Modus genutzt wird"
"Please enter the variable name.","Bitte einen Variablennamen angeben."
"Please enter the replacement.","Bitte die Ersetzung angeben."
